"Elemento","categorias","n_cats"
"Os02g0227500","hypo - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_UP",3
"Os02g0525100","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os02g0539200","hypo - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os02g0575000","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os02g0624300","hypo - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os02g0811800","hypo - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os03g0182000","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os03g0212800","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os03g0232400","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os03g0249100","hypo - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os03g0306800","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os03g0360600","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os03g0428700","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os03g0861300","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os04g0537100","hypo - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os05g0113300","hypo - Azucena (CHH context) - Upstream | hyper - BGI (CG context) - Upstream | BGI_UP",3
"Os05g0463000","hypo - Azucena (CHH context) - Upstream | hyper - Azucena (CHH context) - Upstream | AZU_UP",3
"Os05g0537100","hypo - Azucena (CHH context) - Upstream | AZU_DOWN | BGI_UP",3
"Os06g0146800","hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_UP",3
"Os06g0187500","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os06g0215600","hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_UP",3
"Os06g0239200","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os06g0285200","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os06g0495800","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os06g0555101","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os06g0726200","hypo - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os07g0281700","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os07g0558400","hypo - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os07g0611500","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os08g0338500","hypo - Azucena (CHH context) - Upstream | hyper - BGI (CG context) - Upstream | BGI_UP",3
"Os09g0323700","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os09g0385700","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os10g0345100","hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_UP",3
"Os10g0475100","hypo - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os10g0525500","hypo - Azucena (CHH context) - Upstream | BGI_UP",2
"Os10g0546100","hypo - Azucena (CHH context) - Upstream | hyper - BGI (CHH context) - Upstream | AZU_UP",3
"Os11g0521000","hypo - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_UP",3
"Os11g0701000","hypo - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os12g0555100","hypo - Azucena (CHH context) - Upstream | AZU_UP",2
"Os01g0972000","hyper - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_DOWN",3
"Os02g0207500","hyper - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os02g0314600","hyper - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os03g0226200","hyper - Azucena (CHH context) - Upstream | BGI_DOWN",2
"Os06g0490400","hyper - Azucena (CHH context) - Upstream | AZU_UP",2
"Os06g0552900","hyper - Azucena (CHH context) - Upstream | AZU_DOWN",2
"Os07g0241500","hyper - Azucena (CHH context) - Upstream | BGI_UP",2
"Os09g0522200","hyper - Azucena (CHH context) - Upstream | BGI_UP",2
"Os10g0554200","hyper - Azucena (CHH context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_UP",3
"Os05g0576600","hypo - BGI (CG context) - Upstream | hypo - BGI (CHH context) - Upstream | BGI_DOWN",3
"Os10g0167200","hypo - BGI (CG context) - Upstream | hypo - BGI (CHG context) - Upstream | BGI_UP",3
"Os12g0603800","hypo - BGI (CG context) - Upstream | BGI_DOWN",2
"Os03g0234100","hyper - BGI (CG context) - Upstream | AZU_UP",2
"Os01g0216000","hypo - BGI (CHG context) - Upstream | BGI_UP",2
"Os01g0548750","hypo - BGI (CHG context) - Upstream | BGI_DOWN",2
"Os01g0756300","hypo - BGI (CHG context) - Upstream | AZU_DOWN",2
"Os02g0571100","hypo - BGI (CHG context) - Upstream | BGI_UP",2
"Os02g0642200","hypo - BGI (CHG context) - Upstream | AZU_UP",2
"Os02g0781300","hypo - BGI (CHG context) - Upstream | hyper - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os03g0258900","hypo - BGI (CHG context) - Upstream | BGI_DOWN",2
"Os04g0310200","hypo - BGI (CHG context) - Upstream | AZU_UP",2
"Os04g0414700","hypo - BGI (CHG context) - Upstream | BGI_UP",2
"Os05g0526900","hypo - BGI (CHG context) - Upstream | AZU_DOWN | BGI_UP",3
"Os07g0410300","hypo - BGI (CHG context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os08g0531000","hypo - BGI (CHG context) - Upstream | BGI_DOWN",2
"Os10g0562900","hypo - BGI (CHG context) - Upstream | hyper - BGI (CHG context) - Upstream | BGI_DOWN",3
"Os02g0663800","hyper - BGI (CHG context) - Upstream | AZU_UP",2
"Os03g0571900","hyper - BGI (CHG context) - Upstream | AZU_DOWN | BGI_UP",3
"Os04g0142400","hyper - BGI (CHG context) - Upstream | AZU_DOWN | BGI_UP",3
"Os11g0170900","hyper - BGI (CHG context) - Upstream | hyper - BGI (CHH context) - Upstream | AZU_DOWN",3
"Os01g0124650","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os01g0237500","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os01g0349000","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os01g0369700","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os01g0373800","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os01g0613800","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os01g0902800","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os01g0940700","hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os02g0114300","hypo - BGI (CHH context) - Upstream | BGI_UP",2
